81,0,0,0,0,1
54,1805,3040,5102,7692,1
27,1805,3215,5405,7692,0
81,1805,3040,5102,7692,1
81,1805,5102,5102,6098,1
54,2146,3040,5102,7246,1
27,2146,3040,5102,7246,0
54,2146,3040,5102,7246,1
27,2146,5102,6098,7246,0
54,256,256,256,256,1
27,2146,3040,5102,7246,0
54,2146,3215,5102,7246,1
27,2146,3040,5102,7246,0
81,2028,2273,5747,6849,1
81,2028,2551,5747,6849,1
81,2146,2710,6098,7246,1
81,2028,2551,5747,6849,1
81,2028,2865,6849,10204,1
81,256,256,256,256,1
81,256,256,256,256,1
81,256,256,256,256,1
81,0,0,0,0,1
54,2028,2865,5102,6849,1
27,2146,3040,5405,7246,0
81,2028,2865,5102,6849,1
81,2028,5102,5747,6849,1
54,2273,2710,6452,8130,1
27,2410,2865,6849,8130,0
54,2273,2710,6452,8130,1
27,2028,2710,4545,6452,0
54,256,256,256,256,1
27,2273,2710,6452,8130,0
54,2410,2865,6849,8130,1
27,2273,2710,6452,8130,0
81,1805,2273,6098,7692,1
81,1805,2551,6098,7692,1
81,2273,2710,6452,8130,1
81,1805,2551,6849,7692,1
81,2146,3040,7692,10204,1
81,256,256,256,256,1
81,256,256,256,256,1
81,256,256,256,256,1
81,1805,2273,5747,11494,1
81,256,256,256,256,1
81,2273,2865,7692,11494,1
81,256,256,256,256,1
81,2273,3831,6452,11494,1
81,256,256,256,256,1
81,256,256,256,256,1
54,1805,2273,6452,11494,1
27,1805,2410,6849,11494,0
81,1805,2551,6098,7692,1
54,256,256,256,256,1
27,1805,3040,5102,7692,0
54,1805,2551,6098,7692,1
27,1805,3040,5102,7692,0
81,1013,2551,6098,8621,1
81,1805,2865,5102,9091,1
81,256,256,256,256,1
81,256,256,256,256,1
81,256,256,256,256,1
81,1805,3040,5405,9091,1
81,256,256,256,256,1
81,2273,3831,5405,6849,1
81,256,256,256,256,1
81,1805,4545,5405,6849,1
81,256,256,256,256,1
81,256,256,256,256,1
54,1805,4545,5405,6849,1
27,2273,3831,5405,6849,0
81,2551,4065,5747,6849,1
81,2273,3831,5405,6849,1
81,2028,3413,5747,10204,1
81,2028,3040,5102,10204,1
81,2028,2551,5747,6849,1
54,2146,2710,6098,7246,1
27,2028,2551,5747,6849,0
81,2028,2865,6849,10204,1
81,2028,3413,5747,10204,1
81,0,0,0,0,1
54,1805,3040,5102,7692,1
27,1805,3215,5405,7692,0
81,1805,3040,5102,7692,1
81,1805,5102,5102,6098,1
54,2146,3040,5102,7246,1
27,2146,3215,5102,7246,0
54,2146,3040,5102,7246,1
27,2146,5102,6098,7246,0
54,256,256,256,256,1
27,2146,3040,5102,7246,0
54,2146,3831,5102,7246,1
27,2146,3040,5102,7246,0
81,2028,2273,5747,6849,1
81,2028,2551,5747,6849,1
81,2146,2710,6098,7246,1
81,2028,2551,5747,6849,1
81,2028,2865,6849,10204,1
81,256,256,256,256,1
81,256,256,256,256,1
81,256,256,256,256,1
81,0,0,0,0,1
54,2028,2865,5102,6849,1
27,2146,3040,5405,7246,0
81,2028,2865,5102,6849,1
81,2028,5102,5747,6849,1
54,2273,2710,6452,8130,1
27,2410,2865,6849,8130,0
54,2273,2710,6452,8130,1
27,2028,2710,4545,6452,0
54,256,256,256,256,1
27,2273,2710,6452,8130,0
54,2410,2865,6849,8130,1
27,2273,2710,6452,8130,0
81,1805,2273,6098,7692,1
81,1805,2551,6098,7692,1
81,2273,2710,6452,8130,1
81,1805,2551,6098,7692,1
81,1704,2146,6098,10204,1
81,256,256,256,256,1
81,1805,2273,5102,6098,1
81,256,256,256,256,1
81,0,0,0,0,1
81,1805,2273,5747,11494,1
54,1805,2273,5747,11494,1
27,2028,2410,6849,12195,0
81,1805,2273,5747,11494,1
81,2273,3831,5747,11494,1
81,256,256,256,256,1
81,2410,3413,7692,11494,1
81,256,256,256,256,1
81,0,0,0,7692,1
81,1805,3040,5102,256,1
54,1805,2551,6098,7692,1
27,1805,3040,5102,7692,0
81,1704,2551,6098,8621,1
81,1805,2028,5102,9091,1
81,256,256,256,256,1
81,256,256,256,6098,1
81,256,256,256,256,1
81,0,0,0,0,1
54,1805,2273,5747,6849,1
27,2028,2410,5747,6849,0
81,1805,2273,5747,6849,1
81,2273,3831,5747,6849,1
81,1704,4065,5747,10204,1
81,1704,3831,5747,9091,1
81,2028,3413,5747,10204,1
81,256,256,256,256,1
81,2551,3831,6098,7692,1
54,2551,3040,7692,10204,1
27,2710,3215,8130,9091,0
81,2551,3040,7692,10204,1
81,3040,5102,7692,7692,1
54,2551,3040,7692,10204,1
27,2710,3215,8130,9091,0
81,2551,3040,7692,10204,1
81,256,256,256,7692,1
81,256,256,256,256,1
